order_id,user_id,order_date,category,amount,city
103860,206,2023-06-20,,1820.92,成都
102659,50,2023-07-22,Clothing,430.5,上海
101905,388,2023-06-22,Books,679.73,成都
100846,375,2023-03-07,Electronics,780.94,成都
101290,328,2023-08-21,Food,1541.02,成都
101483,302,2023-01-12,Food,761.7,武汉
103563,76,2023-06-19,Electronics,595.87,杭州
101243,32,2023-07-09,Electronics,11.68,成都
104782,12,2023-08-20,,1016.27,武汉
104983,68,2023-01-17,Books,,武汉
100834,433,2023-08-21,Food,1124.7,西安
103498,281,2023-08-31,Books,1762.1,深圳
100231,72,2023-01-24,Electronics,615.69,西安
100532,248,2023-02-09,Food,510.88,深圳
101538,308,2023-05-14,Clothing,187.23,成都
100688,429,2023-09-10,Food,359.36,北京
101973,491,2023-03-10,Clothing,1187.65,杭州
104876,376,2023-12-28,Food,135.81,北京
102161,28,2023-04-19,Electronics,1905.76,武汉
103922,131,2023-06-18,Clothing,76.07,深圳
101480,445,2023-06-06,Electronics,681.81,北京
100945,462,2023-11-05,Electronics,1794.97,武汉
103921,411,2023-02-04,Books,1925.01,北京
100332,306,2023-10-02,Electronics,1267.59,深圳
102956,462,2023-11-26,Electronics,788.71,广州
103797,306,2023-05-10,Books,69.07,上海
101989,337,2023-03-06,Clothing,763.81,杭州
104164,248,2023-12-16,Clothing,1461.68,上海
101865,219,2023-08-28,Food,336.68,深圳
103993,368,2023-08-20,Clothing,189.28,武汉
102124,54,2023-02-09,Food,1210.35,成都
104542,34,2023-01-11,Electronics,1417.48,西安
104635,65,2023-01-16,Food,1893.54,成都
100461,335,2023-06-28,Electronics,365.16,武汉
101176,420,2023-02-04,Books,1688.19,上海
102494,487,2023-01-11,Books,189.6,成都
104929,482,2023-08-18,Electronics,237.73,北京
103888,293,2023-08-19,Food,1538.33,深圳
102317,237,2023-01-15,Electronics,1915.41,武汉
100816,483,2023-03-23,Electronics,837.9,西安
102149,260,2023-08-19,Food,1756.04,北京
100062,260,2023-05-16,Clothing,1867.19,上海
100224,494,2023-02-08,Clothing,1510.76,深圳
101092,136,2023-07-07,Clothing,473.66,杭州
101719,338,2023-10-17,Clothing,140.07,广州
101740,408,2023-08-08,Electronics,685.84,北京
100751,191,2023-09-08,Books,363.39,西安
103961,361,2023-04-26,Food,13.16,西安
102553,316,2023-10-14,Clothing,,广州
103201,305,2023-09-20,Clothing,632.97,成都
104317,466,2023-04-10,Electronics,1387.79,深圳
101793,370,2023-08-25,Food,1585.91,成都
103332,459,2023-08-31,Electronics,734.78,武汉
101061,98,2023-10-18,Clothing,1091.8,成都
104450,19,2023-06-20,Clothing,981.78,北京
103218,143,2023-02-25,Food,263.57,上海
103253,35,2023-02-21,Food,1636.41,广州
102207,468,2023-04-17,Books,210.34,北京
104723,403,2023-05-30,Books,1519.17,成都
100898,83,2023-04-05,Clothing,1237.6,杭州
100074,299,2023-10-10,Clothing,865.28,北京
100758,365,2023-12-30,Food,853.38,武汉
102834,72,2023-07-25,Electronics,1454.7,广州
102354,56,2023-12-24,Books,761.48,深圳
101810,245,2023-02-05,Books,1910.64,深圳
101152,204,2023-06-05,Food,928.08,武汉
102504,442,2023-02-13,Electronics,157.04,武汉
100769,352,2023-10-01,Books,1813.99,成都
100824,6,2023-11-26,Clothing,1016.08,西安
103305,84,2023-11-16,Books,1897.5,上海
101382,336,2023-11-27,Food,977.44,西安
104125,287,2023-06-23,Clothing,1775.85,杭州
103601,489,2023-06-10,Food,1432.69,广州
100533,370,2023-11-17,Books,1191.67,深圳
100389,63,2023-05-17,Books,503.36,上海
102751,294,2023-10-07,Food,1117.78,杭州
101529,391,2023-01-27,Clothing,1264.01,
102172,135,2023-09-24,Electronics,1976.59,广州
100804,170,2023-05-01,Electronics,35.37,上海
101343,38,2023-08-30,Books,118.14,武汉
104302,365,2023-05-11,Clothing,1894.84,西安
104293,491,2023-03-25,Clothing,592.42,成都
102994,82,2023-10-15,Books,1402.73,杭州
102873,227,2023-01-21,Clothing,1100.49,杭州
104331,303,2023-06-12,Food,1517.33,武汉
101842,288,2023-11-17,Clothing,1253.1,武汉
102979,110,2023-07-21,Clothing,945.76,西安
104754,247,2023-02-22,Electronics,1525.54,西安
100314,497,2023-08-16,Food,1507.26,西安
100799,340,2023-09-24,Food,1249.37,广州
102297,159,2023-04-08,Electronics,1163.24,成都
102985,240,2023-05-06,Clothing,1527.61,西安
102355,101,2023-05-10,Books,880.65,杭州
103441,190,2023-02-19,Electronics,520.35,武汉
103963,396,2023-11-13,Books,93.5,北京
103155,486,2023-12-17,Books,1989.33,武汉
103181,58,2023-09-26,Food,1175.29,北京
102647,50,2023-04-24,Clothing,45.97,成都
102349,256,2023-12-14,Books,654.08,深圳
