order_id,user_id,order_date,category,amount,city,temp
103860,206,2023-06-20,,1820.92,成都,26
102659,50,2023-07-22,Clothing,430.5,上海,26
101905,388,2023-06-22,Books,679.73,成都,26
100846,375,2023-03-07,Electronics,780.94,成都,26
101290,328,2023-08-21,Food,1541.02,成都,26
101483,302,2023-01-12,Food,761.7,武汉,26
103563,76,2023-06-19,Electronics,595.87,杭州,28
101243,32,2023-07-09,Electronics,11.68,成都,26
104782,12,2023-08-20,,1016.27,武汉,26
104983,68,2023-01-17,Books,,武汉,26
100834,433,2023-08-21,Food,1124.7,西安,24
103498,281,2023-08-31,Books,1762.1,深圳,31
100231,72,2023-01-24,Electronics,615.69,西安,24
100532,248,2023-02-09,Food,510.88,深圳,31
101538,308,2023-05-14,Clothing,187.23,成都,26
100688,429,2023-09-10,Food,359.36,北京,24
101973,491,2023-03-10,Clothing,1187.65,杭州,28
104876,376,2023-12-28,Food,135.81,北京,24
102161,28,2023-04-19,Electronics,1905.76,武汉,26
103922,131,2023-06-18,Clothing,76.07,深圳,31
101480,445,2023-06-06,Electronics,681.81,北京,24
100945,462,2023-11-05,Electronics,1794.97,武汉,26
103921,411,2023-02-04,Books,1925.01,北京,24
100332,306,2023-10-02,Electronics,1267.59,深圳,31
102956,462,2023-11-26,Electronics,788.71,广州,33
103797,306,2023-05-10,Books,69.07,上海,26
101989,337,2023-03-06,Clothing,763.81,杭州,28
104164,248,2023-12-16,Clothing,1461.68,上海,26
101865,219,2023-08-28,Food,336.68,深圳,31
103993,368,2023-08-20,Clothing,189.28,武汉,26
102124,54,2023-02-09,Food,1210.35,成都,26
104542,34,2023-01-11,Electronics,1417.48,西安,24
104635,65,2023-01-16,Food,1893.54,成都,26
100461,335,2023-06-28,Electronics,365.16,武汉,26
101176,420,2023-02-04,Books,1688.19,上海,26
102494,487,2023-01-11,Books,189.6,成都,26
104929,482,2023-08-18,Electronics,237.73,北京,24
103888,293,2023-08-19,Food,1538.33,深圳,31
102317,237,2023-01-15,Electronics,1915.41,武汉,26
100816,483,2023-03-23,Electronics,837.9,西安,24
102149,260,2023-08-19,Food,1756.04,北京,24
100062,260,2023-05-16,Clothing,1867.19,上海,26
100224,494,2023-02-08,Clothing,1510.76,深圳,31
101092,136,2023-07-07,Clothing,473.66,杭州,28
